Layer name	Count		QuantReLU value
conv1_1		128450560	34.50357
conv1_2		128450560	51.192287
conv2_1		64225280	41.60329
conv2_2		64225280	48.78716
conv3_1		32112640	34.203297
conv3_2		32112640	34.1834
conv3_3		32112640	29.019073
conv4_1		16056320	22.288908
conv4_2		16056320	16.420193
conv4_3		16056320	9.47969
conv5_1		4014080	7.712185
conv5_2		4014080	5.2930703
conv5_3		4014080	3.1015894
Layer name	Count		QuantReLU value
conv1_1		128450560	25.32215
conv1_2		128450560	35.073406
conv2_1		64225280	29.73657
conv2_2		64225280	34.814903
conv3_1		32112640	28.264692
conv3_2		32112640	28.92055
conv3_3		32112640	26.792507
conv4_1		16056320	21.05758
conv4_2		16056320	14.860073
conv4_3		16056320	7.6452594
conv5_1		4014080	5.9182463
conv5_2		4014080	3.9700718
conv5_3		4014080	2.3009508
Layer name	Count		QuantReLU value
conv1_1		128450560	25.086338
conv1_2		128450560	34.234177
conv2_1		64225280	29.387043
conv2_2		64225280	34.184673
conv3_1		32112640	27.895437
conv3_2		32112640	28.723299
conv3_3		32112640	27.010372
conv4_1		16056320	21.086294
conv4_2		16056320	14.763625
conv4_3		16056320	7.6112814
conv5_1		4014080	5.9220147
conv5_2		4014080	4.008114
conv5_3		4014080	2.3246338
Layer name	Count		QuantReLU value
conv1_1		64225280	24.515396
conv1_2		64225280	34.355835
conv2_1		32112640	29.019747
conv2_2		32112640	34.836384
conv3_1		16056320	25.858847
conv3_2		16056320	25.45735
conv3_3		16056320	22.739815
conv4_1		8028160	17.00379
conv4_2		8028160	11.090319
conv4_3		8028160	5.459001
conv5_1		2007040	3.9510999
conv5_2		2007040	2.5978773
conv5_3		2007040	1.494266
Layer name	Count		QuantReLU value
conv1_1		64225280	29.733654
conv1_2		64225280	40.10191
conv2_1		32112640	32.128555
conv2_2		32112640	37.108593
conv3_1		16056320	23.70725
conv3_2		16056320	20.935314
conv3_3		16056320	17.410292
conv4_1		8028160	13.240563
conv4_2		8028160	10.541469
conv4_3		8028160	6.713962
conv5_1		2007040	5.648997
conv5_2		2007040	4.1791945
conv5_3		2007040	2.581981
Layer name	Count		QuantReLU value
conv1_1		64225280	31.549387
conv1_2		64225280	54.035706
conv2_1		32112640	48.587856
conv2_2		32112640	55.10889
conv3_1		16056320	27.803204
conv3_2		16056320	22.47416
conv3_3		16056320	18.497206
conv4_1		8028160	13.170054
conv4_2		8028160	10.334138
conv4_3		8028160	6.5484324
conv5_1		2007040	5.554116
conv5_2		2007040	4.213265
conv5_3		2007040	2.4916964
Layer name	Count		QuantReLU value
conv1_1		64225280	27.134836
conv1_2		64225280	46.99707
conv2_1		32112640	35.215363
conv2_2		32112640	38.25391
conv3_1		16056320	22.974606
conv3_2		16056320	19.36031
conv3_3		16056320	15.719784
conv4_1		8028160	11.491301
conv4_2		8028160	8.934162
conv4_3		8028160	5.4856863
conv5_1		2007040	4.7266836
conv5_2		2007040	3.715205
conv5_3		2007040	2.313197
Layer name	Count		QuantReLU value
conv1_1		64225280	30.631828
conv1_2		64225280	41.607616
conv2_1		32112640	36.87467
conv2_2		32112640	40.775063
conv3_1		16056320	24.278688
conv3_2		16056320	20.982952
conv3_3		16056320	17.533117
conv4_1		8028160	13.479903
conv4_2		8028160	10.699185
conv4_3		8028160	6.8256693
conv5_1		2007040	5.665684
conv5_2		2007040	4.1596184
conv5_3		2007040	2.5214162
Layer name	Count		QuantReLU value
conv1_1		64225280	35.099712
conv1_2		64225280	42.255703
conv2_1		32112640	36.365536
conv2_2		32112640	39.094463
conv3_1		16056320	21.244652
conv3_2		16056320	18.10699
conv3_3		16056320	15.488476
conv4_1		8028160	12.230655
conv4_2		8028160	9.91371
conv4_3		8028160	6.2723484
conv5_1		2007040	5.701213
conv5_2		2007040	4.3471885
conv5_3		2007040	2.7412345
